Category,Full Street Address,Source
Public Safety,935 Folsom Street San Francisco CA 94103,https://sf-fire.org/fire-station-locations
Public Safety,1340 Powell Street San Francisco CA 94133,https://sf-fire.org/fire-station-locations
Public Safety,1067 Post Street San Francisco CA 94109,https://sf-fire.org/fire-station-locations
Public Safety,449 Mission Rock San Francisco CA 94158,https://sf-fire.org/fire-station-locations
Public Safety,1301 Turk Street San Francisco CA 94115,https://sf-fire.org/fire-station-locations
Public Safety,135 Sanchez Street San Francisco CA 94114,https://sf-fire.org/fire-station-locations
Public Safety,2300 Folsom Street San Francisco CA 94110,https://sf-fire.org/fire-station-locations
Public Safety,36 Bluxome Street San Francisco CA 94107,https://sf-fire.org/fire-station-locations
Public Safety,2245 Jerrold Avenue San Francisco CA 94124,https://sf-fire.org/fire-station-locations
Public Safety,655 Presidio Avenue San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,3880 26th Street San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,1145 Stanyan Street San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,530 Sansome Street San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,551 26th Avenue San Francisco CA 94121,https://sf-fire.org/fire-station-locations
Public Safety,1000 Ocean Avenue San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,2251 Greenwich Street San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,1295 Shafter Avenue San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,1935 32nd Avenue San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,390 Buckingham Way San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,285 Olympia Way San Francisco CA 94131,https://sf-fire.org/fire-station-locations
Public Safety,1443 Grove Street San Francisco CA 94117,https://sf-fire.org/fire-station-locations
Public Safety,1290 16th Avenue San Francisco CA 94122,https://sf-fire.org/fire-station-locations
Public Safety,1348 45th Avenue San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,100 Hoffman Avenue San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,3305 3rd Street San Francisco CA 94124,https://sf-fire.org/fire-station-locations
Public Safety,80 Digby Street San Francisco CA 94131,https://sf-fire.org/fire-station-locations
Public Safety,1814 Stockton Street San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,299 Vermont Street San Francisco CA 94103,https://sf-fire.org/fire-station-locations
Public Safety,441 12th Avenue San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,194 Park Street San Francisco CA 94110,https://sf-fire.org/fire-station-locations
Public Safety,8 Capitol Avenue San Francisco CA 94112,https://sf-fire.org/fire-station-locations
Public Safety,499 41st Avenue San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,Pier 22½ The Embarcadero San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,109 Oak Street San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,798 Wisconsin Street San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,2150 California Street San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,1091 Portola Drive San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,2155 18th Avenue San Francisco CA 94116,https://sf-fire.org/fire-station-locations
Public Safety,1325 Leavenworth Street San Francisco CA 94109,https://sf-fire.org/fire-station-locations
Public Safety,2430 San Bruno Avenue San Francisco CA 94134,https://sf-fire.org/fire-station-locations
Public Safety,720 Moscow Street San Francisco CA 94112,https://sf-fire.org/fire-station-locations
Public Safety,1298 Girard Street San Francisco CA 94134,https://sf-fire.org/fire-station-locations
Public Safety,800 Avenue I (at 10th Street) Treasure Island San Francisco CA 94130,https://sf-fire.org/fire-station-locations
Public Safety,2241 Jerrold Avenue San Francisco CA 94124,https://sf-fire.org/fire-station-locations
Public Safety,218 Lincoln Boulevard San Francisco CA,https://sf-fire.org/fire-station-locations
Public Safety,698 2nd Street San Francisco CA 94107,https://sf-fire.org/fire-stations
Public Safety,201 Williams Ave San Francisco CA 94124,https://www.sanfranciscopolice.org/find-my-station
Public Safety,766 Vallejo St San Francisco CA 94133,https://www.sanfranciscopolice.org/find-my-station
Public Safety,1 John V. Young Ln San Francisco CA 94112,https://www.sanfranciscopolice.org/find-my-station
Public Safety,630 Valencia St San Francisco CA 94110,https://www.sanfranciscopolice.org/find-my-station
Public Safety,1125 Fillmore St San Francisco CA 94115,https://www.sanfranciscopolice.org/find-my-station
Public Safety,1899 Waller St San Francisco CA 94117,https://www.sanfranciscopolice.org/find-my-station
Public Safety,461 6th Ave San Francisco CA 94118,https://www.sanfranciscopolice.org/find-my-station
Public Safety,1256 3rd St San Francisco CA 94158,https://www.sanfranciscopolice.org/find-my-station
Public Safety,2345 24th Ave San Francisco CA 94116,https://www.sanfranciscopolice.org/find-my-station
Public Safety,301 Eddy St San Francisco CA 94102,https://www.sanfranciscopolice.org/find-my-station
Public Works & Transportation,2323 Cesar Chavez St San Francisco CA 94124,https://www.sfpublicworks.org/permits/bag-and-tag-process-and-procedures
Public Works & Transportation,1801 Jerrold Ave San Francisco CA 94124,https://sfdpw.org/sites/default/files/City%20Asphalt%20Plant_1801%20Jerrold%20Ave_0.pdf
Parks & Recreation,49 South Van Ness Ave San Francisco CA 94103,https://sfpublicworks.org/get_involved/graffiti-watch
Public Works & Transportation,1508 Bancroft Ave San Francisco CA 94124,https://www.sfmta.com/permits-and-licensing/contractor-parking-permit-permit-center#PermitCenter
Public Works & Transportation,1538 Yosemite Ave San Francisco CA 94124,https://www.sfmta.com/doing-business/advertising#PaintShop
Public Works & Transportation,505 7th St San Francisco CA 94103,https://www.sfmta.com/sites/default/files/reports-and-documents/2023/09/parking_enforcement_facilities_site_plan_opt_d.pdf
Public Works & Transportation,571 10th St San Francisco CA 94103,https://www.sfmta.com/sites/default/files/reports-and-documents/2023/09/parking_enforcement_facilities_site_plan_opt_d.pdf
Public Works & Transportation,2650 Bayshore Blvd Daly City CA 94014,https://www.sfmta.com/sites/default/files/reports-and-documents/2020/12/short_range_transit_plan_final_12.15.2020.pdf
Utilities (Water/Power),525 Golden Gate Ave San Francisco CA 94102,https://www.sfpuc.gov/about-us/contact-us
Utilities (Water/Power),1990 Newcomb Ave San Francisco CA 94124,https://www.sfpuc.gov/accounts-services/service-installations/hydrant-meters
Utilities (Water/Power),1990 Newcomb Ave San Francisco CA 94124,https://www.sfpuc.gov/documents/Inventory-Audits_FY23-24.pdf
Utilities (Water/Power),750 Phelps St San Francisco CA 94124,https://sfpuc.org/learning/construction/southeast-treatment-plant
Utilities (Water/Power),3500 Great Highway San Francisco CA 94116,https://sfpuc.org/learning/construction/oceanside-treatment-plant
Utilities (Water/Power),3801 3rd St Suite 600 San Francisco CA 94124,https://www.sfpuc.gov/sites/default/files/programs/SIU_PermitAppForms%26SDCP.pdf
Health & Human Services,49 South Van Ness Ave Suite 600 San Francisco CA 94103,https://www.sf.gov/locations/environmental-health-branch-san-francisco-department-public-health
Housing Buildings & Code,49 South Van Ness Ave San Francisco CA 94103,https://www.sf.gov/information--permit-center-services
Animal Services,1419 Bryant St San Francisco CA 94103,https://www.sfanimalcare.org/contact/
Sanitation & Environment,501 Tunnel Ave San Francisco CA 94134,https://www.recologysf.com/sftransferstation/
Sanitation & Environment,1000 Amador St San Francisco CA 94124,https://recyclecentral.com/
